country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,1100,1120,1250,1270,1500,1670,1630,1770,1810,1800,1770
Albania,7430,7910,8450,9160,9530,9930,10200,10400,10500,10700,11000
Algeria,12400,12400,12600,12700,12700,12900,13000,13200,13300,13500,13800
Andorra,39800,42700,43400,41400,41700,39000,42000,41900,43700,44900,46600
Angola,5110,5500,6040,6470,6290,6360,6350,6650,6730,6810,6650
Antigua and Barbuda,22200,24700,26500,26100,22600,20700,20000,20400,20100,20800,21400
Argentina,15600,16700,18000,18600,17300,18900,19800,19400,19600,18900,19200
Armenia,5360,6110,7010,7560,6530,6700,7020,7510,7720,7950,8170
Australia,39000,39500,40700,41400,41300,41500,42000,42800,43200,43700,44100
Austria,41300,42500,43900,44400,42700,43300,44500,44600,44300,44200,44300
Azerbaijan,8180,10900,13500,14600,15700,16200,15800,15900,16600,16900,16800
Bahamas,32800,33000,32900,31500,29700,29700,29500,30100,29700,29300,29400
Bahrain,43200,42700,42800,42200,40700,40600,40200,41000,42700,43800,43900
Bangladesh,1990,2100,2220,2320,2410,2520,2650,2790,2930,3070,3230
Barbados,16000,16900,17100,17000,16300,16300,16300,16300,16300,16300,16400
Belarus,11200,12400,13600,15000,15100,16300,17200,17500,17600,17900,17200
Belgium,39800,40500,41600,41600,40400,41100,41300,41100,41000,41300,41800
Belize,7850,8000,7880,7930,7780,7850,7830,7880,7770,7880,7980
Benin,1740,1750,1810,1840,1830,1820,1820,1860,1940,2000,1990
Bhutan,4580,4830,5630,5840,6160,6810,7270,7550,7620,7950,8380
Bolivia,4640,4780,4910,5130,5210,5340,5530,5720,6010,6240,6440
Bosnia and Herzegovina,8350,8800,9320,9850,9600,9760,9980,10000,10500,10800,11300
Botswana,11700,12400,13200,13700,12400,13200,13800,14300,15700,16200,15700
Brazil,12400,12700,13300,13900,13700,14600,15100,15200,15500,15500,14800
Brunei,83000,85400,84500,81900,79500,80600,82500,82200,79300,76400,75100
Bulgaria,12400,13400,14500,15400,15000,15300,15700,15800,15900,16300,17000
Burkina Faso,1270,1310,1340,1390,1390,1420,1470,1520,1560,1580,1600
Burundi,693,707,707,718,721,734,739,748,761,768,716
Cambodia,1970,2150,2330,2450,2420,2520,2660,2810,2960,3120,3290
Cameroon,2780,2800,2860,2880,2860,2880,2910,2970,3040,3130,3220
Canada,40600,41200,41600,41600,39900,40700,41600,41800,42400,43100,43100
Cape Verde,4760,5070,5770,6080,5930,5940,6100,6090,6060,6020,6010
Central African Republic,840,863,885,888,950,982,1020,1060,678,677,703
Chad,1790,1740,1740,1730,1740,1920,1850,1950,1990,2060,2050
Chile,17000,17900,18500,19000,18500,19400,20300,21200,21900,22000,22300
China,5700,6390,7260,7930,8630,9500,10400,11100,11900,12700,13500
Colombia,9340,9840,10400,10600,10600,11000,11700,12000,12400,12900,13100
Comoros,2370,2380,2340,2380,2390,2430,2470,2480,2530,2530,2490
"Congo, Dem. Rep.",594,605,623,640,637,660,682,706,741,785,812
"Congo, Rep.",4870,5000,4760,4850,5050,5320,5350,5420,5470,5700,5700
Costa Rica,10900,11600,12300,12700,12500,12900,13300,13800,13900,14300,14600
Cote d'Ivoire,2680,2660,2650,2660,2680,2670,2500,2700,2860,3040,3230
Croatia,20100,21100,22200,22700,21000,20800,20800,20300,20300,20400,21000
Cuba,5250,5920,6050,6340,6480,6700,6930,7140,7380,7630,7890
Cyprus,33600,34600,35600,36000,34400,33900,33200,31800,30000,29900,30700
Czech Republic,25800,27500,28800,29400,27800,28400,28800,28500,28400,29100,30600
Denmark,44600,46200,46400,45900,43400,44000,44400,44300,44600,45100,45800
Djibouti,2290,2360,2440,2540,2630,2670,2740,2830,2920,3040,3180
Dominica,8700,9090,9660,10300,10200,10300,10300,10100,10100,10500,10200
Dominican Republic,9150,9860,10500,10700,10600,11400,11600,11800,12200,13000,13700
Ecuador,8550,8780,8820,9230,9130,9310,9880,10300,10600,10900,10700
Egypt,8140,8540,8990,9460,9720,10000,9980,9980,9970,10000,10200
El Salvador,5890,6120,6200,6310,6150,6280,6490,6650,6760,6850,6980
Equatorial Guinea,31700,32600,35900,40400,39100,34000,34600,35900,33000,31700,27700
Eritrea,2290,2190,2170,1910,1950,1960,2100,1180,1160,1200,1240
Estonia,22800,25300,27400,26000,22200,22700,24500,25700,26300,27100,27600
Eswatini,7240,7630,7920,7930,8000,8240,8370,8710,9200,9310,9270
Ethiopia,736,794,860,928,982,1080,1160,1230,1320,1410,1520
Fiji,7430,7510,7370,7370,7190,7350,7520,7610,7970,8410,8780
Finland,39100,40500,42500,42600,38900,39800,40700,39900,39400,39000,39100
France,36400,37000,37700,37600,36300,36800,37400,37400,37400,37600,37800
Gabon,17000,16000,16500,15500,15000,15500,16000,16200,16500,16600,16700
Gambia,1430,1410,1420,1450,1500,1550,1440,1480,1500,1440,1480
Georgia,5250,5770,6530,6710,6520,6980,7550,8080,8380,8770,9010
Germany,37700,39100,40500,41000,38800,40400,42700,42800,42900,43700,44000
Ghana,2510,2600,2650,2810,2880,3030,3370,3600,3770,3790,3790
Greece,29600,31100,32100,31900,30400,28700,26100,24400,23700,24100,24100
Grenada,11700,11200,11900,11900,11100,11000,11000,10800,11000,11800,12400
Guatemala,6270,6460,6710,6780,6670,6710,6850,6900,7010,7150,7290
Guinea,1600,1580,1650,1680,1630,1670,1720,1780,1810,1840,1860
Guinea-Bissau,1370,1370,1380,1390,1400,1430,1510,1440,1450,1430,1470
Guyana,4730,4970,5320,5420,5610,5830,6110,6400,6690,6910,7090
Haiti,1570,1580,1610,1600,1620,1510,1570,1590,1630,1660,1650
Honduras,3660,3810,3950,4030,3850,3910,3980,4070,4110,4160,4250
Hungary,22500,23400,23500,23700,22200,22400,22800,22600,23100,24200,25100
Iceland,40700,41800,44600,44700,41500,40100,40800,41100,42400,42800,44200
India,3410,3630,3850,3910,4160,4450,4630,4820,5070,5380,5740
Indonesia,6840,7120,7470,7820,8070,8460,8860,9270,9650,10000,10400
Iran,15800,16400,17500,17400,17300,18100,18400,16800,16600,17100,16700
Iraq,10900,11800,11800,12500,12700,13200,13700,15000,15600,15100,15000
Ireland,46600,47600,48700,45700,42900,43500,44900,44800,45200,48800,60500
Israel,26600,27600,28700,29000,28600,29700,30600,30600,31300,31900,32100
Italy,37600,38200,38600,38000,35700,36200,36300,35200,34200,33900,34300
Jamaica,8430,8630,8710,8590,8180,8020,8110,8020,8010,8020,8050
Japan,35700,36100,36700,36300,34300,35800,35800,36400,37100,37300,37800
Jordan,8740,9090,9420,9630,9660,9390,9120,8870,8660,8530,8410
Kazakhstan,16000,17500,18900,19300,19000,20100,21300,22000,23000,23600,23500
Kenya,2190,2270,2360,2300,2310,2440,2520,2560,2640,2710,2800
Kiribati,1960,1920,1910,1830,1800,1750,1750,1800,1850,1820,1980
Kuwait,93700,96400,96800,93600,81900,75400,78000,78700,75600,72600,70300
Kyrgyz Republic,2370,2420,2600,2790,2840,2790,2920,2870,3120,3180,3230
Lao,3120,3330,3520,3740,3950,4220,4490,4770,5080,5390,5690
Latvia,17500,19800,21900,21400,18600,18300,19800,20800,21600,22200,23000
Lebanon,10500,10600,11500,12600,13700,14400,13800,13400,12800,12300,11900
Lesotho,1910,2000,2100,2240,2290,2420,2580,2720,2750,2810,2870
Liberia,940,982,1030,1060,1080,1100,1150,1210,1280,1260,1230
Libya,26000,27300,28600,29000,28400,29500,11100,24600,21100,16000,14400
Lithuania,18500,20200,22700,23600,20300,21100,22900,24000,25100,26300,27000
Luxembourg,88600,91700,97900,94900,89100,91700,92000,89500,90700,92300,93700
Madagascar,1390,1420,1460,1520,1420,1390,1370,1370,1360,1370,1380
Malawi,868,884,942,986,1040,1080,1100,1090,1110,1140,1140
Malaysia,18600,19200,20000,20600,19900,21000,21800,22700,23400,24500,25400
Maldives,9250,11400,12000,12800,11500,12000,12500,12300,12600,12900,12700
Mali,1760,1790,1790,1810,1840,1880,1880,1810,1800,1870,1920
Malta,26300,26700,27700,28400,27500,28300,28600,29100,30000,31900,34500
Marshall Islands,3050,3060,3160,3100,3050,3240,3270,3370,3450,3410,3380
Mauritania,3090,3570,3570,3500,3370,3430,3480,3580,3690,3780,3720
Mauritius,12900,13400,14100,14900,15300,15900,16600,17100,17600,18300,18900
Mexico,16200,16600,16800,16700,15600,16200,16500,16900,16900,17200,17500
"Micronesia, Fed. Sts.",3260,3280,3240,3200,3250,3320,3410,3310,3140,3030,3140
Moldova,4000,4210,4340,4690,4420,4730,5010,4980,5440,5710,5700
Monaco,52800,54600,60900,59900,53700,54100,58100,58100,57900,58300,58800
Mongolia,6050,6480,7050,7570,7350,7690,8850,9750,10700,11300,11300
Montenegro,11800,12800,13600,14600,13700,14000,14500,14100,14600,14800,15300
Morocco,5370,5710,5850,6120,6300,6460,6700,6810,7020,7110,7330
Mozambique,758,809,846,879,910,945,984,1030,1070,1120,1160
Myanmar,2250,2530,2820,3080,3390,3690,3870,4110,4420,4740,5030
Namibia,7700,8110,8390,8460,8330,8680,8960,9250,9600,10000,10500
Nauru,5010,4030,4050,5420,5860,6610,7340,7910,10100,12600,12300
Nepal,1680,1710,1750,1840,1910,1990,2050,2160,2250,2390,2460
Netherlands,43800,45300,46900,47700,45700,46100,46600,45900,45800,46200,46900
New Zealand,31900,32400,33100,32500,32100,32200,32700,33300,33900,34600,35200
Nicaragua,3720,3820,3960,4040,3850,3970,4160,4380,4530,4690,4850
Niger,763,777,772,815,779,812,799,860,870,900,903
Nigeria,4120,4260,4420,4600,4840,5090,5210,5290,5500,5690,5690
North Korea,1770,1750,1710,1760,1730,1710,1720,1730,1740,1750,1720
North Macedonia,9390,9850,10500,11000,11000,11400,11600,11500,11900,12300,12800
Norway,62900,63900,65100,64600,62700,62400,62100,63000,62900,63400,64000
Oman,41500,42500,43100,45100,45700,45300,41900,42600,41300,39700,39200
Pakistan,3850,4000,4100,4070,4100,4070,4100,4150,4240,4350,4460
Palau,14000,13900,14300,13900,13300,13600,14500,15100,14900,15500,17100
Palestine,3590,3360,3500,3610,3820,4020,4410,4570,4560,4450,4490
Panama,11900,12700,14000,15100,15000,15600,17100,18500,19400,20000,20800
Papua New Guinea,2620,2620,2840,2770,2880,3100,3070,3150,3200,3560,3820
Paraguay,8020,8280,8610,9030,8880,9740,10000,9830,10500,10900,11100
Peru,7530,8020,8640,9350,9380,10100,10600,11200,11700,11900,12100
Philippines,4780,4940,5180,5300,5270,5580,5690,5970,6280,6560,6850
Poland,17200,18300,19600,20400,21000,21800,22900,23200,23600,24400,25300
Portugal,26600,27000,27600,27600,26700,27200,26800,25800,25700,26000,26600
Qatar,110000,117000,116000,116000,113000,120000,124000,120000,118000,117000,116000
Romania,14400,15700,17100,19000,18100,17500,17900,18400,19100,19800,20700
Russia,19300,21000,22800,24000,22100,23300,24300,25200,25600,25300,24500
Rwanda,1060,1140,1190,1290,1340,1400,1470,1560,1590,1670,1770
Samoa,5340,5410,5720,5740,5420,5410,5670,5650,5490,5520,5570
San Marino,83400,85500,90500,90800,78200,73600,65700,59900,57300,56100,55900
Sao Tome and Principe,2200,2340,2350,2470,2460,2560,2610,2640,2710,2840,2890
Saudi Arabia,45700,45700,45300,46800,44500,45400,48500,49500,49400,49700,50500
Senegal,2680,2680,2740,2770,2760,2780,2740,2800,2800,2900,3000
Serbia,10800,11900,12800,13500,13200,13400,13700,13700,14200,14000,14300
Seychelles,17800,19100,21000,20100,19800,20400,22600,22600,23500,24200,24900
Sierra Leone,1060,1070,1130,1160,1170,1210,1260,1410,1670,1710,1330
Singapore,62600,66200,69200,66800,64900,73100,76000,77500,79900,82000,83300
Slovak Republic,20000,21700,24100,25400,24000,25200,25800,26200,26600,27300,28400
Slovenia,27000,28400,30200,31100,28500,28700,28800,28000,27600,28400,29000
Solomon Islands,1680,1760,1840,1930,1800,1870,2070,2100,2110,2100,2090
Somalia,616,615,615,615,615,614,614,616,619,621,623
South Africa,11000,11500,11900,12100,11800,12000,12200,12300,12400,12400,12400
South Korea,25500,26700,28000,28600,28600,30400,31200,31800,32500,33400,34200
South Sudan,3360,3610,3920,3940,3960,4010,3700,1940,2140,2170,1910
Spain,32900,33700,34300,34200,32700,32500,32100,31100,30700,31200,32400
Sri Lanka,6470,6910,7330,7710,7930,8500,9160,9980,10200,10600,11100
St. Kitts and Nevis,24600,25100,24900,26300,25200,24600,24800,24400,25500,26800,27200
St. Lucia,11100,11600,11700,12100,11800,11700,12000,11900,11600,11600,11600
St. Vincent and the Grenadines,9330,10000,10400,10600,10400,10000,9970,10100,10300,10400,10500
Sudan,2750,2950,3190,3350,3370,3400,3640,4070,4150,4160,4260
Suriname,11900,12500,13000,13300,13600,14100,14800,15000,15300,15200,14500
Sweden,41300,43000,44100,43500,40900,43000,43800,43400,43500,44200,45700
Switzerland,52800,54500,56300,56800,54800,55900,56200,56200,56500,57200,57300
Syria,5650,5750,5860,5920,6120,6290,5980,4830,4120,3540,3050
Tajikistan,1720,1810,1910,2020,2050,2140,2250,2360,2480,2580,2670
Tanzania,1910,1980,2050,2110,2160,2230,2330,2360,2450,2540,2610
Thailand,11500,12000,12600,12800,12600,13500,13500,14500,14800,14900,15300
Timor-Leste,6500,9020,9310,10000,9280,9010,9860,10200,8890,6470,7660
Togo,1150,1160,1160,1170,1200,1240,1290,1340,1380,1420,1470
Tonga,4950,4880,4630,4740,4820,4990,5150,5240,5120,5270,5480
Trinidad and Tobago,26400,29800,31100,32000,30400,31300,31000,31200,31600,31100,31500
Tunisia,8800,9180,9690,10000,10200,10400,10100,10400,10600,10800,10900
Turkey,16300,17300,17900,17800,16800,18000,19700,20300,21600,22300,23300
Turkmenistan,6500,7130,7820,8850,9250,9940,11200,12200,13200,14300,15000
Tuvalu,2880,2910,3070,3280,3100,2990,3180,3030,3130,3140,3390
Uganda,1260,1350,1420,1500,1550,1590,1680,1690,1700,1720,1750
Ukraine,7280,7870,8520,8770,7510,7820,8280,8320,8340,8240,7470
United Arab Emirates,91600,87100,77200,69400,58800,55400,56600,57900,60400,62900,65800
United Kingdom,37200,37800,38500,38100,36200,36500,36800,37100,37600,38400,39000
United States,49500,50400,50900,50400,48600,49500,49900,50600,51200,52100,53200
Uruguay,13000,13500,14400,15400,16000,17200,18000,18600,19400,19900,19900
Uzbekistan,3080,3270,3530,3790,4020,4240,4470,4770,5070,5340,5640
Vanuatu,2610,2760,2840,2950,2980,2950,2910,2880,2850,2840,2740
Venezuela,15100,16400,17600,18200,17400,16900,17300,18000,18000,17100,15600
Vietnam,3430,3630,3850,4030,4210,4430,4660,4860,5070,5310,5610
Yemen,4250,4270,4290,4320,4360,4570,3880,3860,3940,3830,3110
Zambia,2520,2650,2800,2930,3120,3340,3420,3570,3630,3690,3680
Zimbabwe,1980,1890,1810,1480,1630,1930,2170,2490,2490,2510,2510